model,sku,shortage_penalty,initial_stock,order,lost_units,ending_stock,fill_rate,holding_cost,shortage_cost,total_cost
ml,SKU-001,1.0,405.35714285714283,412,0.0,127.35714285714289,1.0,159.9785714285714,0.0,159.9785714285714
ml,SKU-001,2.0,405.35714285714283,412,0.0,127.35714285714289,1.0,159.9785714285714,0.0,159.9785714285714
ml,SKU-001,5.0,405.35714285714283,412,0.0,127.35714285714289,1.0,159.9785714285714,0.0,159.9785714285714
ml,SKU-002,1.0,152.5,165,0.0,45.5,1.0,57.7,0.0,57.7
ml,SKU-002,2.0,152.5,165,0.0,45.5,1.0,57.7,0.0,57.7
ml,SKU-002,5.0,152.5,165,0.0,45.5,1.0,57.7,0.0,57.7
ml,SKU-003,1.0,125.35714285714286,122,0.0,38.35714285714286,1.0,47.578571428571436,0.0,47.578571428571436
ml,SKU-003,2.0,125.35714285714286,122,0.0,38.35714285714286,1.0,47.578571428571436,0.0,47.578571428571436
ml,SKU-003,5.0,125.35714285714286,122,0.0,38.35714285714286,1.0,47.578571428571436,0.0,47.578571428571436
ml,SKU-004,1.0,172.14285714285717,194,0.0,74.14285714285717,1.0,73.17142857142858,0.0,73.17142857142858
ml,SKU-004,2.0,172.14285714285717,194,0.0,74.14285714285717,1.0,73.17142857142858,0.0,73.17142857142858
ml,SKU-004,5.0,172.14285714285717,194,0.0,74.14285714285717,1.0,73.17142857142858,0.0,73.17142857142858
ml,SKU-005,1.0,356.96428571428567,376,0.0,153.96428571428567,1.0,154.18214285714282,0.0,154.18214285714282
ml,SKU-005,2.0,356.96428571428567,376,0.0,153.96428571428567,1.0,154.18214285714282,0.0,154.18214285714282
ml,SKU-005,5.0,356.96428571428567,376,0.0,153.96428571428567,1.0,154.18214285714282,0.0,154.18214285714282
ml,SKU-006,1.0,313.92857142857144,285,0.0,122.92857142857144,1.0,123.46428571428572,0.0,123.46428571428572
ml,SKU-006,2.0,313.92857142857144,285,0.0,122.92857142857144,1.0,123.46428571428572,0.0,123.46428571428572
ml,SKU-006,5.0,313.92857142857144,285,0.0,122.92857142857144,1.0,123.46428571428572,0.0,123.46428571428572
ml,SKU-007,1.0,297.32142857142856,285,0.0,75.32142857142856,1.0,113.3107142857143,0.0,113.3107142857143
ml,SKU-007,2.0,297.32142857142856,285,0.0,75.32142857142856,1.0,113.3107142857143,0.0,113.3107142857143
ml,SKU-007,5.0,297.32142857142856,285,0.0,75.32142857142856,1.0,113.3107142857143,0.0,113.3107142857143
ml,SKU-008,1.0,327.14285714285717,345,0.0,61.14285714285711,1.0,123.97142857142856,0.0,123.97142857142856
ml,SKU-008,2.0,327.14285714285717,345,0.0,61.14285714285711,1.0,123.97142857142856,0.0,123.97142857142856
ml,SKU-008,5.0,327.14285714285717,345,0.0,61.14285714285711,1.0,123.97142857142856,0.0,123.97142857142856
ml,SKU-009,1.0,295.7142857142857,334,0.0,114.71428571428572,1.0,127.95714285714287,0.0,127.95714285714287
ml,SKU-009,2.0,295.7142857142857,334,0.0,114.71428571428572,1.0,127.95714285714287,0.0,127.95714285714287
ml,SKU-009,5.0,295.7142857142857,334,0.0,114.71428571428572,1.0,127.95714285714287,0.0,127.95714285714287
ml,SKU-010,1.0,193.75,251,0.0,82.75,1.0,87.47500000000001,0.0,87.47500000000001
ml,SKU-010,2.0,193.75,251,0.0,82.75,1.0,87.47500000000001,0.0,87.47500000000001
ml,SKU-010,5.0,193.75,251,0.0,82.75,1.0,87.47500000000001,0.0,87.47500000000001
ml,SKU-011,1.0,66.96428571428571,98,0.0,23.964285714285722,1.0,32.33214285714286,0.0,32.33214285714286
ml,SKU-011,2.0,66.96428571428571,98,0.0,23.964285714285722,1.0,32.33214285714286,0.0,32.33214285714286
ml,SKU-011,5.0,66.96428571428571,98,0.0,23.964285714285722,1.0,32.33214285714286,0.0,32.33214285714286
ml,SKU-012,1.0,297.67857142857144,397,0.0,109.67857142857144,1.0,134.58928571428572,0.0,134.58928571428572
ml,SKU-012,2.0,297.67857142857144,397,0.0,109.67857142857144,1.0,134.58928571428572,0.0,134.58928571428572
ml,SKU-012,5.0,297.67857142857144,397,0.0,109.67857142857144,1.0,134.58928571428572,0.0,134.58928571428572
ml,SKU-013,1.0,246.07142857142858,328,0.0,10.071428571428555,1.0,84.03571428571428,0.0,84.03571428571428
ml,SKU-013,2.0,246.07142857142858,328,0.0,10.071428571428555,1.0,84.03571428571428,0.0,84.03571428571428
ml,SKU-013,5.0,246.07142857142858,328,0.0,10.071428571428555,1.0,84.03571428571428,0.0,84.03571428571428
