split,model,horizon,mae,wape,bias,n
holdout,ml,1,5.553607085788874,0.13191465761968824,-0.7541787989380486,20
holdout,ml,2,5.512126393278887,0.1238680088377278,-1.2607024886534117,20
holdout,ml,3,6.876976085293686,0.14917518623196716,0.32015918475658156,20
holdout,ml,4,6.776183069870041,0.13800780183034705,0.9746322474682054,20
holdout,ml,5,5.875554557875727,0.10095454566796783,1.7820976191766458,20
holdout,ml,6,9.600115531042073,0.13685125489724978,-9.11191646961396,20
holdout,ml,7,9.285658507304714,0.15297625217964933,-5.600208944979908,20
holdout,ml,8,6.19666524620335,0.1507704439465535,-3.884584899015626,20
holdout,ml,9,8.267104630832502,0.17855517561193313,-7.7932981071975025,20
holdout,ml,10,8.84784865859177,0.1931844685282046,-5.252349933626644,20
holdout,ml,11,7.749550103649068,0.1573512711400826,-5.805141483912054,20
holdout,ml,12,9.254796121113568,0.15888062010495396,-7.957587292737239,20
holdout,ml,13,9.47059528603288,0.14082669570309117,-7.155496788217201,20
holdout,ml,14,10.58944366447903,0.1699750186914772,-8.170208190617831,20
holdout,ml,15,7.933896231436134,0.1842949182679706,-6.576275634734415,20
holdout,ml,16,7.119354342817337,0.16556638006551946,-5.390125137575258,20
holdout,ml,17,8.664716212540204,0.18203185320462614,-8.038429517734576,20
holdout,ml,18,10.894949353855361,0.21320840222808926,-8.78240809881297,20
holdout,ml,19,12.221036870762763,0.20419443393087322,-10.72975918233966,20
holdout,ml,20,11.478601364804728,0.17081252030959418,-8.372769920380305,20
holdout,ml,21,7.982344778671008,0.13449612095486113,-6.249272637328535,20
holdout,ml,22,8.04165509834623,0.18899306929133322,-6.6693060993065085,20
holdout,ml,23,6.330522614584308,0.15496995384539308,-3.797564330085197,20
holdout,ml,24,9.864122369516203,0.20359385695595877,-9.45952241582162,20
holdout,ml,25,9.09153611364445,0.18201273500789691,-8.057752527518847,20
holdout,ml,26,8.568048270607308,0.15097882415167063,-7.951383768283035,20
holdout,ml,27,11.366197853007488,0.16377806704621742,-10.788026612018365,20
holdout,ml,28,11.4291821753947,0.18069853241730752,-10.344178040192471,20
holdout,seasonal_naive,1,7.65,0.18171021377672208,1.35,20
holdout,seasonal_naive,2,7.7,0.17303370786516853,-2.9,20
holdout,seasonal_naive,3,7.95,0.17245119305856832,0.95,20
holdout,seasonal_naive,4,10.15,0.20672097759674135,1.25,20
holdout,seasonal_naive,5,10.75,0.18470790378006874,1.15,20
holdout,seasonal_naive,6,11.45,0.1632216678545973,-1.75,20
holdout,seasonal_naive,7,10.65,0.17545304777594728,0.85,20
holdout,seasonal_naive,8,7.55,0.18369829683698297,2.35,20
holdout,seasonal_naive,9,7.5,0.16198704103671707,-4.7,20
holdout,seasonal_naive,10,10.55,0.23034934497816595,1.25,20
holdout,seasonal_naive,11,7.6,0.15431472081218275,1.1,20
holdout,seasonal_naive,12,9.2,0.15793991416309014,1.1,20
holdout,seasonal_naive,13,13.65,0.20297397769516728,1.15,20
holdout,seasonal_naive,14,8.25,0.13242375601926162,-0.75,20
