sku,days,units,daily_mean
SKU-018,420,28761,68.47857142857143
SKU-019,420,28572,68.02857142857142
SKU-020,420,27202,64.76666666666667
SKU-001,420,26872,63.98095238095238
SKU-008,420,26150,62.26190476190476
SKU-005,420,26048,62.01904761904762
SKU-016,420,25957,61.80238095238095
SKU-012,420,25261,60.14523809523809
SKU-009,420,24506,58.34761904761905
SKU-007,420,22935,54.607142857142854
SKU-006,420,22846,54.39523809523809
SKU-013,420,20794,49.50952380952381
SKU-014,420,20099,47.85476190476191
SKU-010,420,16221,38.621428571428574
SKU-017,420,14595,34.75
SKU-004,420,12882,30.67142857142857
SKU-002,420,10493,24.983333333333334
SKU-015,420,10121,24.097619047619048
SKU-003,420,8689,20.688095238095237
SKU-011,420,6172,14.695238095238095
