model,sku,shortage_penalty,initial_stock,order,lost_units,ending_stock,fill_rate,holding_cost,shortage_cost,total_cost
ml,16044,1.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,16044,2.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,16044,5.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20756,1.0,1.6071428571428572,17,1.3928571428571428,13.0,0.8010204081632654,5.030357142857144,1.3928571428571428,6.4232142857142875
ml,20756,2.0,1.6071428571428572,17,1.3928571428571428,13.0,0.8010204081632654,5.030357142857144,2.7857142857142856,7.81607142857143
ml,20756,5.0,1.6071428571428572,17,1.3928571428571428,13.0,0.8010204081632654,5.030357142857144,6.9642857142857135,11.994642857142857
ml,20759,1.0,1.0714285714285714,18,16.92857142857143,16.0,0.15357142857142855,6.1535714285714285,16.92857142857143,23.08214285714286
ml,20759,2.0,1.0714285714285714,18,16.92857142857143,16.0,0.15357142857142855,6.1535714285714285,33.85714285714286,40.010714285714286
ml,20759,5.0,1.0714285714285714,18,16.92857142857143,16.0,0.15357142857142855,6.1535714285714285,84.64285714285715,90.79642857142858
ml,20991,1.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20991,2.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20991,5.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20993,1.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20993,2.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,20993,5.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,21212,1.0,423.03571428571433,1051,0.0,697.0357142857142,1.0,370.21785714285716,0.0,370.21785714285716
ml,21212,2.0,423.03571428571433,1051,0.0,697.0357142857142,1.0,370.21785714285716,0.0,370.21785714285716
ml,21212,5.0,423.03571428571433,1051,0.0,697.0357142857142,1.0,370.21785714285716,0.0,370.21785714285716
ml,21232,1.0,134.64285714285714,295,444.3571428571429,0.0,0.49158221641059163,12.996428571428572,444.3571428571429,457.35357142857146
ml,21232,2.0,134.64285714285714,295,444.3571428571429,0.0,0.49158221641059163,12.996428571428572,888.7142857142858,901.7107142857144
ml,21232,5.0,134.64285714285714,295,444.3571428571429,0.0,0.49158221641059163,12.996428571428572,2221.7857142857147,2234.7821428571433
ml,21977,1.0,114.10714285714286,432,151.8928571428571,0.0,0.7823884568153909,61.14821428571431,151.8928571428571,213.04107142857143
ml,21977,2.0,114.10714285714286,432,151.8928571428571,0.0,0.7823884568153909,61.14821428571431,303.7857142857142,364.9339285714285
ml,21977,5.0,114.10714285714286,432,151.8928571428571,0.0,0.7823884568153909,61.14821428571431,759.4642857142856,820.6124999999998
ml,21980,1.0,75.71428571428571,193,0.0,158.71428571428572,1.0,78.25714285714287,0.0,78.25714285714287
ml,21980,2.0,75.71428571428571,193,0.0,158.71428571428572,1.0,78.25714285714287,0.0,78.25714285714287
ml,21980,5.0,75.71428571428571,193,0.0,158.71428571428572,1.0,78.25714285714287,0.0,78.25714285714287
ml,21984,1.0,26.964285714285715,150,0.0,140.96428571428572,1.0,60.93214285714286,0.0,60.93214285714286
ml,21984,2.0,26.964285714285715,150,0.0,140.96428571428572,1.0,60.93214285714286,0.0,60.93214285714286
ml,21984,5.0,26.964285714285715,150,0.0,140.96428571428572,1.0,60.93214285714286,0.0,60.93214285714286
ml,21985,1.0,54.107142857142854,204,0.0,45.10714285714286,1.0,51.85357142857144,0.0,51.85357142857144
ml,21985,2.0,54.107142857142854,204,0.0,45.10714285714286,1.0,51.85357142857144,0.0,51.85357142857144
ml,21985,5.0,54.107142857142854,204,0.0,45.10714285714286,1.0,51.85357142857144,0.0,51.85357142857144
ml,37410,1.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,37410,2.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,37410,5.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,47503E,1.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,47503E,2.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,47503E,5.0,0.0,4,0.0,4.0,1.0,1.4,0.0,1.4
ml,84077,1.0,1507.8571428571427,44,110.14285714285734,0.0,0.9337287261474986,346.1857142857142,110.14285714285734,456.32857142857154
ml,84077,2.0,1507.8571428571427,44,110.14285714285734,0.0,0.9337287261474986,346.1857142857142,220.28571428571468,566.4714285714289
ml,84077,5.0,1507.8571428571427,44,110.14285714285734,0.0,0.9337287261474986,346.1857142857142,550.7142857142867,896.9000000000009
ml,84879,1.0,772.6785714285713,1341,0.0,541.6785714285713,1.0,460.4392857142857,0.0,460.4392857142857
ml,84879,2.0,772.6785714285713,1341,0.0,541.6785714285713,1.0,460.4392857142857,0.0,460.4392857142857
ml,84879,5.0,772.6785714285713,1341,0.0,541.6785714285713,1.0,460.4392857142857,0.0,460.4392857142857
ml,84991,1.0,284.4642857142857,487,0.0,5.464285714285779,1.0,113.58214285714288,0.0,113.58214285714288
ml,84991,2.0,284.4642857142857,487,0.0,5.464285714285779,1.0,113.58214285714288,0.0,113.58214285714288
ml,84991,5.0,284.4642857142857,487,0.0,5.464285714285779,1.0,113.58214285714288,0.0,113.58214285714288
ml,84992,1.0,123.39285714285714,347,41.60714285714289,0.0,0.9187360491071428,23.378571428571426,41.60714285714289,64.98571428571432
ml,84992,2.0,123.39285714285714,347,41.60714285714289,0.0,0.9187360491071428,23.378571428571426,83.21428571428578,106.59285714285721
