sku,days,units,daily_mean
84077,739,110138,149.0365358592693
85099B,739,98349,133.08389715832206
21212,739,96560,130.66305818673882
85123A,739,96147,130.1041948579161
84879,739,81809,110.70230040595399
21977,739,56794,76.85250338294993
84991,739,54716,74.04059539918809
21232,739,38981,52.74830852503383
84992,739,35438,47.953991880920164
21980,739,31551,42.69418132611637
21985,739,25708,34.78755074424898
37410,739,25707,34.78619756427605
21984,739,25509,34.51826792963464
85220,739,12236,16.557510148849797
20993,739,10967,14.840324763193506
20991,739,7084,9.585926928281461
47503E,739,6842,9.258457374830853
16044,739,6193,8.380243572395129
20759,739,5782,7.824086603518268
20756,739,5734,7.7591339648173205
